,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
0,ZTS,139.26,41745681010,14
1,ZTS,15.59,9962088232,128
2,ZTS,208.8,12661144533,9
3,ZTS,177.7,2781281605907,11
4,ZTS,145.9,256418250406,13
5,ZTS,155.4,32645630706,12
6,ZTS,302.08,13960097756,6
7,ZTS,116.12,199198964103,17
8,ZTS,333.61,221248058688,5
9,ZTS,460.99,214399829609,4
10,ZTS,180.73,95194667111,11
11,ZTS,90.0,49488889126,22
12,ZTS,261.88,107366197398,7
13,ZTS,233.1,51501785382,8
14,ZTS,98.91,24645000307,20
15,ZTS,108.8,55123254896,18
16,ZTS,25.8,16628812861,77
17,ZTS,64.5,40467573581,30
18,ZTS,59.11,44406257112,33
19,ZTS,10.0,1513157876,199
20,ZTS,170.49,8989282932,11
21,ZTS,193.8,41626141395,10
22,ZTS,100.18,15348403129,19
23,ZTS,286.59,33518907760,6
24,ZTS,298.0,23581733479,6
25,ZTS,49.25,6224328367,40
26,ZTS,134.31,36158356207,14
27,ZTS,110.17,9757698466,18
28,ZTS,187.1,42011383913,10
29,ZTS,113.63,99418960767,17
30,ZTS,12.88,20171287374,154
31,ZTS,103.01,166286964716,19
32,ZTS,133.06,30284673789,15
33,ZTS,252.93,134456840648,7
34,ZTS,301.13,31729713284,6
35,ZTS,281.4,132246848823,7
36,ZTS,146.65,1488048448279,13
37,ZTS,131.38,39532118438,15
38,ZTS,286.3,25483615491,6
39,ZTS,505.4,117771974759,3
40,ZTS,314.66,65701747683,6
41,ZTS,66.82,10630323007,29
42,ZTS,35.9,11568211287,55
43,ZTS,284.1,60493826250,7
44,ZTS,81.52,49466732672,24
45,ZTS,111.71,31141868209,17
46,ZTS,177.51,27794948423,11
47,ZTS,122.42,16738416943,16
48,ZTS,83.52,65449244439,23
49,ZTS,223.85,31844649082,8
50,ZTS,565.11,232318903484,3
51,ZTS,202.49,16570483437,9
52,ZTS,160.77,29428760758,12
53,ZTS,171.12,129364156176,11
54,ZTS,2306.7,45010850508,0
55,ZTS,175.51,100949909434,11
56,ZTS,37.6,304580864398,53
57,ZTS,63.28,30537972518,31
58,ZTS,81.2,18287293991,24
59,ZTS,266.94,77429124777,7
60,ZTS,29.38,15081197975,67
61,ZTS,78.55,37118609070,25
62,ZTS,228.96,32541675623,8
63,ZTS,556.57,16278070862,3
64,ZTS,46.2,36883497059,43
65,ZTS,2174.99,84344954465,0
66,ZTS,26.8,27103182929,74
67,ZTS,761.13,116655808154,2
68,ZTS,69.92,22320360665,28
69,ZTS,77.57,169197927555,25
70,ZTS,184.36,22287451737,10
71,ZTS,313.78,678320583715,6
72,ZTS,43.55,62037076821,45
73,ZTS,41.71,9598505341,47
74,ZTS,91.7,14763070008,21
75,ZTS,56.38,108532751777,35
76,ZTS,35.97,16987574299,55
77,ZTS,69.72,19394285708,28
78,ZTS,45.23,38790519639,44
79,ZTS,199.9,107877186038,9
80,ZTS,199.06,84690622199,10
81,ZTS,119.78,13149492026,16
82,ZTS,90.85,28591124640,21
83,ZTS,190.09,79726282307,10
84,ZTS,10.9,12089883969,183
85,ZTS,196.88,54217624457,10
86,ZTS,186.8,24571763361,10
87,ZTS,118.04,13259814863,16
88,ZTS,96.56,28542355193,20
89,ZTS,104.79,21805867521,19
90,ZTS,40.93,20310021807,48
91,ZTS,91.1,21548339115,21
92,ZTS,122.16,15209432784,16
93,ZTS,491.12,77334573918,4
94,ZTS,292.37,92861448141,6
95,ZTS,105.46,16768366866,18
96,ZTS,81.29,69607102802,24
97,ZTS,147.2,18458599586,13
98,ZTS,88.63,11698366309,22
99,ZTS,41.0,181152033536,48
100,ZTS,211.0,74919084132,9
101,ZTS,1714.6,48027723408,1
102,ZTS,231.57,32147786885,8
103,ZTS,70.1,20351569432,28
104,ZTS,98.1,56252320359,20
105,ZTS,32.6,21306166588,61
106,ZTS,119.13,44430185032,16
107,ZTS,22.93,8939959375,87
108,ZTS,345.4,17854556979,5
109,ZTS,104.38,133850562747,19
110,ZTS,563.8,247090857890,3
111,ZTS,7.89,6486717119,252
112,ZTS,52.28,15211389151,38
113,ZTS,133.72,31143686418,14
114,ZTS,190.11,193114099776,10
115,ZTS,47.09,194580961705,42
116,ZTS,35.64,73953098428,56
117,ZTS,453.52,44553985867,4
118,ZTS,11.0,12333235358,181
119,ZTS,71.63,36401290759,27
120,ZTS,63.73,45160693194,31
121,ZTS,107.62,13175844381,18
122,ZTS,111.31,141114970546,17
123,ZTS,165.16,327552101547,12
124,ZTS,68.6,13377189609,29
125,ZTS,84.61,71074403653,23
126,ZTS,35.2,23046452179,56
127,ZTS,64.0,32240214697,31
128,ZTS,380.77,114934784654,5
129,ZTS,109.7,31330860276,18
130,ZTS,265.6,57861831828,7
131,ZTS,140.75,17057980292,14
132,ZTS,81.5,28105710182,24
133,ZTS,297.94,219663193529,6
134,ZTS,125.51,228047608154,15
135,ZTS,25.05,,79
136,ZTS,20.38,11036792514,97
137,ZTS,137.17,39084772481,14
138,ZTS,171.41,39260034612,11
139,ZTS,142.0,20575646469,14
140,ZTS,58.6,40430611732,34
141,ZTS,428.08,15284499246,4
142,ZTS,66.1,25574229215,30
143,ZTS,137.85,16696391322,14
144,ZTS,135.46,26961385555,14
145,ZTS,111.33,88758098583,17
146,ZTS,95.48,8539562614,20
147,ZTS,67.15,43551785446,29
148,ZTS,27.03,6272112159,73
149,ZTS,89.95,36461569300,22
150,ZTS,134.64,38272790384,14
151,ZTS,50.15,27654464369,39
152,ZTS,179.68,50803273185,11
153,ZTS,103.62,35673682010,19
154,ZTS,225.03,27581534916,8
155,ZTS,71.72,27105234704,27
156,ZTS,288.14,103637894634,6
157,ZTS,103.88,12802339450,19
158,ZTS,92.32,53107722545,21
159,ZTS,118.92,69071072484,16
160,ZTS,739.75,66033668512,2
161,ZTS,81.56,30309798474,24
162,ZTS,94.82,32819313547,21
163,ZTS,308.03,19382973683,6
164,ZTS,50.73,11259715995,39
165,ZTS,155.71,62443338704,12
166,ZTS,122.77,25013891429,16
167,ZTS,73.97,16369733093,26
168,ZTS,108.5,66940663934,18
169,ZTS,47.08,45620194116,42
170,ZTS,108.19,18102848161,18
171,ZTS,117.24,17795756598,17
172,ZTS,217.71,28825633883,9
173,ZTS,16.52,65245763605,120
174,ZTS,139.5,24214294186,14
175,ZTS,55.8,33069635298,35
176,ZTS,202.57,573043452297,9
177,ZTS,71.73,9304181943,27
178,ZTS,32.59,46842809471,61
179,ZTS,236.94,60637043646,8
180,ZTS,42.58,24246386740,46
181,ZTS,175.41,10409260310,11
182,ZTS,102.41,63662124943,19
183,ZTS,113.4,70293719777,17
184,ZTS,38.49,25866671725,51
185,ZTS,59.42,7845987209,33
186,ZTS,36.02,4608584858,55
187,ZTS,233.62,17761856783,8
188,ZTS,113.62,14189293807,17
189,ZTS,34.0,20609532698,58
190,ZTS,36.8,20231467864,54
191,ZTS,169.2,30318600554,11
192,ZTS,115.9,9242977169,17
193,ZTS,9.43,4154666557,211
194,ZTS,55.56,43169932145,35
195,ZTS,71.51,24763380277,27
196,ZTS,240.94,67539337567,8
197,ZTS,81.2,88493959541,24
198,ZTS,65.29,80229333340,30
199,ZTS,78.0,46797961906,25
200,ZTS,105.53,10559956005,18
201,ZTS,37.61,31824803788,53
202,ZTS,39.74,60053162780,50
203,ZTS,126.44,83899286223,15
204,ZTS,125.62,85865359508,15
205,ZTS,159.8,22636770689,12
206,ZTS,141.97,37561525793,14
207,ZTS,10.89,4093314568,183
208,ZTS,103.24,19562187060,19
209,ZTS,364.65,125756602459,5
210,ZTS,598.44,30208935862,3
211,ZTS,30.86,27156458542,64
212,ZTS,82.7,11611361450,24
213,ZTS,14.82,21671492360,134
214,ZTS,11.04,3735806179,180
215,ZTS,224.35,65052974795,8
216,ZTS,329.71,335133029173,6
217,ZTS,115.44,35696295639,17
218,ZTS,71.45,22309036706,27
