,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
0,ZTS,139.26,41745681010,N/A
1,ZTS,15.59,9962088232,N/A
2,ZTS,208.8,12661144533,N/A
3,ZTS,177.7,2781281605907,N/A
4,ZTS,145.9,256418250406,N/A
5,ZTS,155.4,32645630706,N/A
6,ZTS,302.08,13960097756,N/A
7,ZTS,116.12,199198964103,N/A
8,ZTS,333.61,221248058688,N/A
9,ZTS,460.99,214399829609,N/A
10,ZTS,180.73,95194667111,N/A
11,ZTS,90.0,49488889126,N/A
12,ZTS,261.88,107366197398,N/A
13,ZTS,233.1,51501785382,N/A
14,ZTS,98.91,24645000307,N/A
15,ZTS,108.8,55123254896,N/A
16,ZTS,25.8,16628812861,N/A
17,ZTS,64.5,40467573581,N/A
18,ZTS,59.11,44406257112,N/A
19,ZTS,10.0,1513157876,N/A
20,ZTS,170.49,8989282932,N/A
21,ZTS,193.8,41626141395,N/A
22,ZTS,100.18,15348403129,N/A
23,ZTS,286.59,33518907760,N/A
24,ZTS,298.0,23581733479,N/A
25,ZTS,49.25,6224328367,N/A
26,ZTS,134.31,36158356207,N/A
27,ZTS,110.17,9757698466,N/A
28,ZTS,187.1,42011383913,N/A
29,ZTS,113.63,99418960767,N/A
30,ZTS,12.88,20171287374,N/A
31,ZTS,103.01,166286964716,N/A
32,ZTS,133.06,30284673789,N/A
33,ZTS,252.93,134456840648,N/A
34,ZTS,301.13,31729713284,N/A
35,ZTS,281.4,132246848823,N/A
36,ZTS,146.65,1488048448279,N/A
37,ZTS,131.38,39532118438,N/A
38,ZTS,286.3,25483615491,N/A
39,ZTS,505.4,117771974759,N/A
40,ZTS,314.66,65701747683,N/A
41,ZTS,66.82,10630323007,N/A
42,ZTS,35.9,11568211287,N/A
43,ZTS,284.1,60493826250,N/A
44,ZTS,81.52,49466732672,N/A
45,ZTS,111.71,31141868209,N/A
46,ZTS,177.51,27794948423,N/A
47,ZTS,122.42,16738416943,N/A
48,ZTS,83.52,65449244439,N/A
49,ZTS,223.85,31844649082,N/A
50,ZTS,565.11,232318903484,N/A
51,ZTS,202.49,16570483437,N/A
52,ZTS,160.77,29428760758,N/A
53,ZTS,171.12,129364156176,N/A
54,ZTS,2306.7,45010850508,N/A
55,ZTS,175.51,100949909434,N/A
56,ZTS,37.6,304580864398,N/A
57,ZTS,63.28,30537972518,N/A
58,ZTS,81.2,18287293991,N/A
59,ZTS,266.94,77429124777,N/A
60,ZTS,29.38,15081197975,N/A
61,ZTS,78.55,37118609070,N/A
62,ZTS,228.96,32541675623,N/A
63,ZTS,556.57,16278070862,N/A
64,ZTS,46.2,36883497059,N/A
65,ZTS,2174.99,84344954465,N/A
66,ZTS,26.8,27103182929,N/A
67,ZTS,761.13,116655808154,N/A
68,ZTS,69.92,22320360665,N/A
69,ZTS,77.57,169197927555,N/A
